date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:41:18	26889/26889	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:27:02%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/sr-bg.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/sr-bg.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:21	24511/24511	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:23:04%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/howit.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/howit.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:22	1121/1121	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Mar%202023%2006:27:02%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/sp.png	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/sp.png	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:30	51872/51872	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:25:00%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/prts-bg.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/prts-bg.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:33	10712/10712	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:27:02%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/test-bg.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/test-bg.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:38	19186/19186	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:23:04%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/pr1.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/pr1.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:38	225986/225986	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:27:02%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/video-bg2.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/video-bg2.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:41	22013/22013	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:23:04%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/pr3.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/pr3.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:42	5017/5017	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Mar%202023%2006:23:04%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/pr-shape.png	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/pr-shape.png	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:44	20324/20324	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:23:04%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/pr2.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/pr2.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
